"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 23 17:46:10 GMT 2024","Tue Jan 23 17:46:17 GMT 2024","7620","chromium","currencies.spec.ts","Currencies Convertions","","","Verify EUR to GBP conversion",""
"passed","Tue Jan 23 17:46:33 GMT 2024","Tue Jan 23 17:46:41 GMT 2024","8357","chromium","currencies.spec.ts","Currencies Convertions","","","Verify CHF to CNY conversion",""
"passed","Tue Jan 23 17:45:55 GMT 2024","Tue Jan 23 17:46:03 GMT 2024","7912","chromium","currencies_v2.spec.ts","Currencies Convertions","","","Verify AUD to CAD conversion",""
"passed","Tue Jan 23 17:45:47 GMT 2024","Tue Jan 23 17:45:55 GMT 2024","8115","chromium","currencies_v2.spec.ts","Currencies Convertions","","","Verify CHF to CNY conversion",""
"passed","Tue Jan 23 17:46:03 GMT 2024","Tue Jan 23 17:46:06 GMT 2024","3344","chromium","currencies.spec.ts","Currencies Convertions","","","Do not accept a conversion with zero amount",""
"passed","Tue Jan 23 17:45:36 GMT 2024","Tue Jan 23 17:45:47 GMT 2024","10722","chromium","currencies_v2.spec.ts","Currencies Convertions","","","Verify INR to SGD conversion",""
"passed","Tue Jan 23 17:46:41 GMT 2024","Tue Jan 23 17:46:53 GMT 2024","11491","chromium","currencies.spec.ts","Currencies Convertions","","","Verify INR to SGD conversion",""
"passed","Tue Jan 23 17:45:29 GMT 2024","Tue Jan 23 17:45:36 GMT 2024","7072","chromium","currencies_v2.spec.ts","Currencies Convertions","","","Verify USD to JPY conversion",""
"passed","Tue Jan 23 17:46:23 GMT 2024","Tue Jan 23 17:46:33 GMT 2024","10022","chromium","currencies.spec.ts","Currencies Convertions","","","Verify AUD to CAD conversion",""
"passed","Tue Jan 23 17:46:06 GMT 2024","Tue Jan 23 17:46:10 GMT 2024","3482","chromium","currencies.spec.ts","Currencies Convertions","","","Do not accept invalid amounts",""
"passed","Tue Jan 23 17:45:17 GMT 2024","Tue Jan 23 17:45:29 GMT 2024","12243","chromium","currencies_v2.spec.ts","Currencies Convertions","","","Verify EUR to GBP conversion",""
"passed","Tue Jan 23 17:46:17 GMT 2024","Tue Jan 23 17:46:23 GMT 2024","5548","chromium","currencies.spec.ts","Currencies Convertions","","","Verify USD to JPY conversion",""
