"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 23 17:24:08 GMT 2024","Tue Jan 23 17:24:21 GMT 2024","13090","chromium","currencies.spec.ts","Currencies Convertions","","","Verify INR to SGD conversion",""
"passed","Tue Jan 23 17:23:57 GMT 2024","Tue Jan 23 17:24:08 GMT 2024","11428","chromium","currencies.spec.ts","Currencies Convertions","","","Verify CHF to CNY conversion",""
"passed","Tue Jan 23 17:23:45 GMT 2024","Tue Jan 23 17:23:57 GMT 2024","11253","chromium","currencies.spec.ts","Currencies Convertions","","","Verify AUD to CAD conversion",""
"passed","Tue Jan 23 17:23:21 GMT 2024","Tue Jan 23 17:23:26 GMT 2024","5348","chromium","currencies_v2.spec.ts","Currencies Convertions","","","Verify AUD to CAD conversion",""
"passed","Tue Jan 23 17:23:15 GMT 2024","Tue Jan 23 17:23:21 GMT 2024","5090","chromium","currencies_v2.spec.ts","Currencies Convertions","","","Verify CHF to CNY conversion",""
"passed","Tue Jan 23 17:22:52 GMT 2024","Tue Jan 23 17:23:04 GMT 2024","12213","chromium","currencies_v2.spec.ts","Currencies Convertions","","","Verify USD to JPY conversion",""
"passed","Tue Jan 23 17:23:40 GMT 2024","Tue Jan 23 17:23:45 GMT 2024","5576","chromium","currencies.spec.ts","Currencies Convertions","","","Verify USD to JPY conversion",""
"passed","Tue Jan 23 17:23:26 GMT 2024","Tue Jan 23 17:23:29 GMT 2024","3286","chromium","currencies.spec.ts","Currencies Convertions","","","Do not accept a conversion with zero amount",""
"passed","Tue Jan 23 17:22:38 GMT 2024","Tue Jan 23 17:22:52 GMT 2024","13467","chromium","currencies_v2.spec.ts","Currencies Convertions","","","Verify EUR to GBP conversion",""
"passed","Tue Jan 23 17:23:29 GMT 2024","Tue Jan 23 17:23:33 GMT 2024","3593","chromium","currencies.spec.ts","Currencies Convertions","","","Do not accept invalid amounts",""
"passed","Tue Jan 23 17:23:33 GMT 2024","Tue Jan 23 17:23:40 GMT 2024","6951","chromium","currencies.spec.ts","Currencies Convertions","","","Verify EUR to GBP conversion",""
"passed","Tue Jan 23 17:23:04 GMT 2024","Tue Jan 23 17:23:15 GMT 2024","11489","chromium","currencies_v2.spec.ts","Currencies Convertions","","","Verify INR to SGD conversion",""
